Kabupaten/Kota,Provinsi,Sambal jadi,"Bumbu maskan jadi/kemasan, bumbu racikan",Cabe merah,Cabe hijau,Cabe rawit,Tahun
Simeulue,Aceh,42,87,2617,143,1324,2018
Aceh Singkil,Aceh,17,106,3285,270,580,2018
Aceh Selatan,Aceh,1,53,2439,46,1690,2018
Aceh Tenggara,Aceh,23,96,2471,440,1017,2018
Aceh Timur,Aceh,2,94,1185,558,694,2018
Aceh Tengah,Aceh,2,135,2460,796,1271,2018
Aceh Barat,Aceh,9,173,2035,105,1760,2018
Aceh Besar,Aceh,45,93,1881,531,687,2018
Pidie,Aceh,2,81,1872,525,544,2018
Bireuen,Aceh,14,108,1824,402,469,2018
Aceh Utara,Aceh,0,81,1535,468,668,2018
Aceh Barat Daya,Aceh,2,20,2365,37,1321,2018
Gayo Lues,Aceh,24,147,2321,160,611,2018
Aceh Tamiang,Aceh,13,150,2024,713,1279,2018
Nagan Raya,Aceh,13,30,2294,147,2311,2018
Aceh Jaya,Aceh,3,66,1954,243,1244,2018
Bener Meriah,Aceh,4,328,1815,647,1509,2018
Pidie Jaya,Aceh,0,26,2184,467,533,2018
Banda Aceh,Aceh,104,167,2853,569,1202,2018
Sabang,Aceh,93,81,2207,449,607,2018
Langsa,Aceh,18,245,2028,568,1001,2018
Lhokseumawe,Aceh,65,180,2165,688,757,2018
Subulussalam,Aceh,,79,2686,136,311,2018
Nias,Sumatera Utara,5,99,1234,48,2073,2018
Mandailing Natal,Sumatera Utara,5,117,3796,78,754,2018
Tapanuli Selatan,Sumatera Utara,16,96,3743,151,677,2018
Tapanuli Tengah,Sumatera Utara,1,42,2984,24,214,2018
Tapanuli Utara,Sumatera Utara,3,162,2511,29,598,2018
Toba Samosir,Sumatera Utara,18,84,2445,68,629,2018
Labuhan Batu,Sumatera Utara,23,99,2673,352,1398,2018
Asahan,Sumatera Utara,16,89,2646,636,1073,2018
Simalungun,Sumatera Utara,9,80,2758,463,1121,2018
Dairi,Sumatera Utara,11,122,2106,101,1537,2018
Karo,Sumatera Utara,4,118,2907,285,2102,2018
Deli Serdang,Sumatera Utara,43,91,2781,392,1245,2018
Langkat,Sumatera Utara,13,89,2074,316,923,2018
Nias Selatan,Sumatera Utara,18,139,2032,62,1352,2018
Humbang Hasundutan,Sumatera Utara,6,70,2515,32,514,2018
Pakpak Bharat,Sumatera Utara,2,88,1563,68,854,2018
Samosir,Sumatera Utara,3,237,1774,13,699,2018
Serdang Bedagai,Sumatera Utara,8,83,2574,439,1175,2018
Batu Bara,Sumatera Utara,10,71,2698,527,894,2018
Padang Lawas Utara,Sumatera Utara,1,57,2775,110,736,2018
Padang Lawas,Sumatera Utara,15,237,3171,119,1080,2018
Labuhan Batu Selatan,Sumatera Utara,4,101,2878,368,1679,2018
Labuhan Batu Utara,Sumatera Utara,8,29,2567,247,1363,2018
Nias Utara,Sumatera Utara,1,90,1547,171,1378,2018
Nias Barat,Sumatera Utara,5,129,1773,72,453,2018
Sibolga,Sumatera Utara,9,21,4066,40,78,2018
Tanjung Balai,Sumatera Utara,35,210,2624,269,313,2018
Pematang Siantar,Sumatera Utara,28,95,2604,331,591,2018
Tebing Tinggi,Sumatera Utara,40,74,2432,376,844,2018
Medan,Sumatera Utara,116,224,3097,493,905,2018
Binjai,Sumatera Utara,78,61,2851,291,1118,2018
Padangsidimpuan,Sumatera Utara,26,169,3765,145,279,2018
Gunungsitoli,Sumatera Utara,9,108,1795,69,1338,2018
Kepulauan Mentawai,Sumatera Barat,101,108,4629,221,647,2018
Pesisir Selatan,Sumatera Barat,4,35,6691,456,380,2018
Solok,Sumatera Barat,6,79,6378,362,121,2018
Sijunjung,Sumatera Barat,6,72,4687,246,1137,2018
Tanah Datar,Sumatera Barat,25,134,5102,360,213,2018
Padang Pariaman,Sumatera Barat,32,52,5068,308,777,2018
Agam,Sumatera Barat,22,109,5461,438,241,2018
Lima Puluh Kota,Sumatera Barat,15,130,5976,153,504,2018
Pasaman,Sumatera Barat,9,57,4568,126,946,2018
Solok Selatan,Sumatera Barat,19,56,5794,668,563,2018
Dharmasraya,Sumatera Barat,39,79,4799,607,920,2018
Pasaman Barat,Sumatera Barat,9,58,3767,239,1952,2018
Padang,Sumatera Barat,153,75,5678,352,206,2018
Sawah Lunto,Sumatera Barat,46,88,5410,577,328,2018
Padang Panjang,Sumatera Barat,135,48,4755,481,76,2018
Bukittinggi,Sumatera Barat,69,133,4332,460,127,2018
Payakumbuh,Sumatera Barat,95,103,5049,428,156,2018
Pariaman,Sumatera Barat,61,22,4916,224,430,2018
Kuantan Singingi,Riau,28,86,4316,299,1370,2018
Indragiri Hulu,Riau,22,116,3767,463,1218,2018
Indragiri Hilir,Riau,49,142,2241,190,904,2018
Pelalawan,Riau,55,250,3095,596,2026,2018
Siak,Riau,79,167,3895,427,1362,2018
Kampar,Riau,49,211,3909,393,1472,2018
Rokan Hulu,Riau,37,101,3529,370,1627,2018
Bengkalis,Riau,57,291,2883,265,1207,2018
Rokan Hilir,Riau,36,134,2519,405,1843,2018
Kepulauan Meranti,Riau,18,75,1660,264,1106,2018
Pekanbaru,Riau,160,109,4104,371,715,2018
Dumai,Riau,81,143,3161,225,1137,2018
Kerinci,Jambi,3,197,5494,127,30,2018
Merangin,Jambi,18,147,4529,218,1867,2018
Sarolangun,Jambi,17,104,3329,201,1772,2018
Batang Hari,Jambi,17,125,3078,140,1054,2018
Muaro Jambi,Jambi,65,187,4002,247,1351,2018
Tanjung Jabung Timur,Jambi,15,209,2962,158,1185,2018
Tanjung Jabung Barat,Jambi,38,174,1870,130,1333,2018
Tebo,Jambi,40,157,3357,262,1672,2018
Bungo,Jambi,17,138,4536,171,1573,2018
Jambi,Jambi,145,212,3422,232,733,2018
Sungai Penuh,Jambi,49,159,6090,408,164,2018
Ogan Komering Ulu,Sumatera Selatan,77,207,1546,232,1213,2018
Ogan Komering Ilir,Sumatera Selatan,54,140,1365,151,1496,2018
Muara Enim,Sumatera Selatan,42,112,1934,272,627,2018
Lahat,Sumatera Selatan,19,121,2951,216,610,2018
Musi Rawas,Sumatera Selatan,13,119,1776,50,1210,2018
Musi Banyuasin,Sumatera Selatan,57,170,1995,221,882,2018
Banyu Asin,Sumatera Selatan,33,217,1980,183,876,2018
Ogan Komering Ulu Selatan,Sumatera Selatan,3,118,1474,224,1574,2018
Ogan Komering Ulu Timur,Sumatera Selatan,10,151,818,192,1975,2018
Ogan Ilir,Sumatera Selatan,34,94,1738,170,516,2018
