Kabupaten/Kota,Sambal jadi,Tahun,Provinsi
Simeulue,42,2018,Aceh
Aceh Singkil,17,2018,Aceh
Aceh Selatan,1,2018,Aceh
Aceh Tenggara,23,2018,Aceh
Aceh Timur,2,2018,Aceh
Aceh Tengah,2,2018,Aceh
Aceh Barat,9,2018,Aceh
Aceh Besar,45,2018,Aceh
Pidie,2,2018,Aceh
Bireuen,14,2018,Aceh
Aceh Utara,0,2018,Aceh
Aceh Barat Daya,2,2018,Aceh
Gayo Lues,24,2018,Aceh
Aceh Tamiang,13,2018,Aceh
Nagan Raya,13,2018,Aceh
Aceh Jaya,3,2018,Aceh
Bener Meriah,4,2018,Aceh
Pidie Jaya,0,2018,Aceh
Banda Aceh,104,2018,Aceh
Sabang,93,2018,Aceh
Langsa,18,2018,Aceh
Lhokseumawe,65,2018,Aceh
Subulussalam,,2018,Aceh
Nias,5,2018,Sumatera Utara
Mandailing Natal,5,2018,Sumatera Utara
Tapanuli Selatan,16,2018,Sumatera Utara
Tapanuli Tengah,1,2018,Sumatera Utara
Tapanuli Utara,3,2018,Sumatera Utara
Toba Samosir,18,2018,Sumatera Utara
Labuhan Batu,23,2018,Sumatera Utara
Asahan,16,2018,Sumatera Utara
Simalungun,9,2018,Sumatera Utara
Dairi,11,2018,Sumatera Utara
Karo,4,2018,Sumatera Utara
Deli Serdang,43,2018,Sumatera Utara
Langkat,13,2018,Sumatera Utara
Nias Selatan,18,2018,Sumatera Utara
Humbang Hasundutan,6,2018,Sumatera Utara
Pakpak Bharat,2,2018,Sumatera Utara
Samosir,3,2018,Sumatera Utara
Serdang Bedagai,8,2018,Sumatera Utara
Batu Bara,10,2018,Sumatera Utara
Padang Lawas Utara,1,2018,Sumatera Utara
Padang Lawas,15,2018,Sumatera Utara
Labuhan Batu Selatan,4,2018,Sumatera Utara
Labuhan Batu Utara,8,2018,Sumatera Utara
Nias Utara,1,2018,Sumatera Utara
Nias Barat,5,2018,Sumatera Utara
Sibolga,9,2018,Sumatera Utara
Tanjung Balai,35,2018,Sumatera Utara
Pematang Siantar,28,2018,Sumatera Utara
Tebing Tinggi,40,2018,Sumatera Utara
Medan,116,2018,Sumatera Utara
Binjai,78,2018,Sumatera Utara
Padangsidimpuan,26,2018,Sumatera Utara
Gunungsitoli,9,2018,Sumatera Utara
Kepulauan Mentawai,101,2018,Sumatera Barat
Pesisir Selatan,4,2018,Sumatera Barat
Solok,6,2018,Sumatera Barat
Sijunjung,6,2018,Sumatera Barat
Tanah Datar,25,2018,Sumatera Barat
Padang Pariaman,32,2018,Sumatera Barat
Agam,22,2018,Sumatera Barat
Lima Puluh Kota,15,2018,Sumatera Barat
Pasaman,9,2018,Sumatera Barat
Solok Selatan,19,2018,Sumatera Barat
Dharmasraya,39,2018,Sumatera Barat
Pasaman Barat,9,2018,Sumatera Barat
Padang,153,2018,Sumatera Barat
Sawah Lunto,46,2018,Sumatera Barat
Padang Panjang,135,2018,Sumatera Barat
Bukittinggi,69,2018,Sumatera Barat
Payakumbuh,95,2018,Sumatera Barat
Pariaman,61,2018,Sumatera Barat
Kuantan Singingi,28,2018,Riau
Indragiri Hulu,22,2018,Riau
Indragiri Hilir,49,2018,Riau
Pelalawan,55,2018,Riau
Siak,79,2018,Riau
Kampar,49,2018,Riau
Rokan Hulu,37,2018,Riau
Bengkalis,57,2018,Riau
Rokan Hilir,36,2018,Riau
Kepulauan Meranti,18,2018,Riau
Pekanbaru,160,2018,Riau
Dumai,81,2018,Riau
Kerinci,3,2018,Jambi
Merangin,18,2018,Jambi
Sarolangun,17,2018,Jambi
Batang Hari,17,2018,Jambi
Muaro Jambi,65,2018,Jambi
Tanjung Jabung Timur,15,2018,Jambi
Tanjung Jabung Barat,38,2018,Jambi
Tebo,40,2018,Jambi
Bungo,17,2018,Jambi
Jambi,145,2018,Jambi
Sungai Penuh,49,2018,Jambi
Ogan Komering Ulu,77,2018,Sumatera Selatan
Ogan Komering Ilir,54,2018,Sumatera Selatan
Muara Enim,42,2018,Sumatera Selatan
Lahat,19,2018,Sumatera Selatan
Musi Rawas,13,2018,Sumatera Selatan
Musi Banyuasin,57,2018,Sumatera Selatan
Banyu Asin,33,2018,Sumatera Selatan
Ogan Komering Ulu Selatan,3,2018,Sumatera Selatan
Ogan Komering Ulu Timur,10,2018,Sumatera Selatan
Ogan Ilir,34,2018,Sumatera Selatan
Empat Lawang,9,2018,Sumatera Selatan
Penukal Abab Lematang Ilir,24,2018,Sumatera Selatan
Musi Rawas Utara,30,2018,Sumatera Selatan
Palembang,203,2018,Sumatera Selatan
Prabumulih,97,2018,Sumatera Selatan
Pagar Alam,25,2018,Sumatera Selatan
Lubuklinggau,64,2018,Sumatera Selatan
Bengkulu Selatan,14,2018,Bengkulu
Rejang Lebong,14,2018,Bengkulu
Bengkulu Utara,22,2018,Bengkulu
Kaur,15,2018,Bengkulu
Seluma,2,2018,Bengkulu
Mukomuko,24,2018,Bengkulu
Lebong,5,2018,Bengkulu
Kepahiang,32,2018,Bengkulu
Bengkulu Tengah,19,2018,Bengkulu
Bengkulu,160,2018,Bengkulu
Lampung Barat,5,2018,Lampung
Tanggamus,16,2018,Lampung
Lampung Selatan,20,2018,Lampung
Lampung Timur,4,2018,Lampung
Lampung Tengah,4,2018,Lampung
Lampung Utara,10,2018,Lampung
Way Kanan,4,2018,Lampung
Tulangbawang,5,2018,Lampung
Pesawaran,36,2018,Lampung
Pringsewu,23,2018,Lampung
Mesuji,36,2018,Lampung
Tulang Bawang Barat,16,2018,Lampung
Pesisir Barat,19,2018,Lampung
Bandar Lampung,117,2018,Lampung
Metro,69,2018,Lampung
Bangka,184,2018,Kepulauan Bangka Belitung
Belitung,100,2018,Kepulauan Bangka Belitung
Bangka Barat,16,2018,Kepulauan Bangka Belitung
Bangka Tengah,143,2018,Kepulauan Bangka Belitung
Bangka Selatan,44,2018,Kepulauan Bangka Belitung
Belitung Timur,81,2018,Kepulauan Bangka Belitung
Pangkal Pinang,130,2018,Kepulauan Bangka Belitung
Karimun,114,2018,Kepulauan Riau
Bintan,111,2018,Kepulauan Riau
Natuna,257,2018,Kepulauan Riau
Lingga,175,2018,Kepulauan Riau
